trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-74.40681795744123,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-182.4515461799354,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-84.01042119731972,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-110.11712350562514,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-96.38770933274412,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-94.71828015979519,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-193.76590729702096,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-117.75133465067515,"{0: 17, 1: 0, 2: 4, 3: 3, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-61.38388492110698,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-28.465026044330948,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,14,-41.86235062486122,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-32.48912685762594,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-61.45952132227006,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-53.16842609745012,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,4,-72.25944947054741,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-5.033305901475071,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,8,-13.857307720547258,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-6.141010855416198,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,14,-19.58393011342503,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,4,-57.67129512378115,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 1}",1
1,True,"{'a': 0.5, 'e': -0.05000000000000032}",25,14,-33.64110552210236,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
2,True,"{'a': 0.5, 'e': -0.10000000000000032}",20,8,21.97511501149371,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': -0.15000000000000033}",20,9,-4.868282352435978,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,True,"{'a': 0.5, 'e': -0.20000000000000034}",30,7,-21.075313789786836,"{0: 20, 1: 0, 2: 1, 3: 2, 4: 0}",1
5,True,"{'a': 0.5, 'e': -0.25000000000000033}",20,0,-0.32978186179650004,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': -0.3000000000000003}",35,0,-101.1418421110084,"{0: 29, 1: 0, 2: 2, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': -0.3500000000000003}",25,0,15.263075321152034,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': -0.4000000000000003}",20,15,9.74469792261771,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': -0.4500000000000003}",25,0,-1.0768487135039493,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': -0.5000000000000003}",20,12,11.819643238222998,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
