trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.23329185090721,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.99}",20,0,-133.89124907715174,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9801}",30,0,-199.78496146489982,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.970299}",30,0,-139.4250008070391,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.96059601}",20,15,2.374478985165327,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,0,-6.565531739744768,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.941480149401}",25,0,-114.92707268211203,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,0,-147.90101890230588,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9227446944279201}",20,0,-65.8063965864486,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9135172474836408}",25,9,-23.577092887820882,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,0,-96.56255917437106,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8953382542587164}",20,0,-39.20394913506549,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8863848717161292}",25,0,-51.74332850135648,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8775210229989678}",25,0,-50.5746508592769,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8687458127689782}",20,0,-108.82221243694939,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8600583546412884}",25,0,-141.56878424581262,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.8514577710948755}",30,0,-51.07606913123663,"{0: 25, 1: 2, 2: 1, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8429431933839268}",25,0,-86.26335943206226,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8345137614500875}",30,0,-65.44914798294971,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8261686238355866}",20,0,-49.05981784577185,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8179069375972308}",25,0,2.9644448794679272,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8097278682212584}",25,0,-171.54668831959677,"{0: 15, 1: 4, 2: 1, 3: 2, 4: 3}",0
23,False,"{'a': 0.5, 'e': 0.8016305895390459}",25,0,-44.07699075383978,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.7936142836436554}",25,0,-149.97521837691878,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.7856781408072188}",20,0,-11.3020536264371,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.7778213593991467}",30,10,-62.072251952052184,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.7700431458051551}",25,0,-90.5850544775906,"{0: 16, 1: 6, 2: 1, 3: 0, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.7623427143471035}",20,0,-153.20396171049498,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.7547192872036325}",25,0,-115.25218364627494,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.7471720943315961}",20,6,-24.745995849799094,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.7397003733882802}",30,0,-83.71227797062903,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.7323033696543975}",20,0,-120.54636372525104,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.7249803359578535}",30,0,-124.0001872435211,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.7177305325982749}",35,0,-203.91100200640008,"{0: 20, 1: 4, 2: 7, 3: 1, 4: 3}",0
35,False,"{'a': 0.5, 'e': 0.7105532272722921}",20,0,-161.73429751114563,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
36,False,"{'a': 0.5, 'e': 0.7034476949995692}",25,13,-5.496361968606493,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.6964132180495735}",20,0,-47.40998250520347,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.6894490858690778}",20,0,-156.25243175534507,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 4}",1
39,False,"{'a': 0.5, 'e': 0.682554595010387}",20,0,-104.62585085208826,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.6757290490602831}",30,0,-178.97577856995878,"{0: 20, 1: 1, 2: 4, 3: 2, 4: 3}",0
41,False,"{'a': 0.5, 'e': 0.6689717585696803}",30,13,-31.846065500536458,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.6622820409839835}",25,0,-123.19802307198482,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.6556592205741436}",25,0,-149.60315068500506,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
