trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-117.8930143424314,"{0: 22, 1: 3, 2: 9, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.36756737183327,"{0: 12, 1: 1, 2: 11, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-82.6813659413757,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.51771789689887,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-122.07467018358481,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-129.5591185207003,"{0: 19, 1: 0, 2: 9, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.47807012524825,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-78.1566951858686,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-72.51188958130328,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.59987911422377,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-210.03806041465316,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.55036440901361,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.42906576187019,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-173.56473141425403,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.63911025082832,"{0: 11, 1: 4, 2: 9, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.547793924147335,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-118.88607314302664,"{0: 20, 1: 0, 2: 8, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,10,-71.19376930099392,"{0: 8, 1: 4, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-143.16592840336702,"{0: 18, 1: 1, 2: 8, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",35,0,-240.5633651432773,"{0: 20, 1: 3, 2: 7, 3: 1, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-84.91130777484204,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-85.68712059279112,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-90.80284763730863,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-143.45871186638888,"{0: 14, 1: 0, 2: 8, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-79.64473100076006,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-165.28757753762662,"{0: 19, 1: 5, 2: 2, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-72.48747566891146,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-83.27508323163266,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-137.39005459704512,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-188.29638824648413,"{0: 18, 1: 0, 2: 9, 3: 0, 4: 3}",0
